Reference,Description,Voices,Notes per voice,Tempo (MM),Tempo (Hz),Time,Frequency sequence (hz),Note dur (s),Gain,Repeat,Notes,,,Ratio to crotchet,Draft,Rounded
3.0104,5.5,5,1,1040,17.33,0.29,"7795.14, 7251.2, 7489, 8771.1, 8212.5",0.06,0.85,4,trigger to next,,,1,0.05769230769,6
3.011,4.1,4,1,35,0.58,6.86,"8136.32, 7763.6, 7502.23, 7485.95",1.29,0.6,0,,,,0.75,1.285714286,129
3.0111,4.2,4,1,64,1.07,3.75,"8136.32, 7763.6, 7502.23, 7485.95",0.76,0.65,0,,,,0.8125,0.76171875,76
3.0112,4.3,4,1,216,3.60,1.11,"8136.32, 7763.6, 7502.23, 7485.95",0.24,0.7,0,,,,0.875,0.2430555556,24
3.0113,4.4,4,1,486,8.10,0.49,"8136.32, 7763.6, 7502.23, 7485.95",0.12,0.8,0,,,,0.9375,0.1157407407,12
3.0114,4.5,4,1,1080,18.00,0.22,"8136.32, 7763.6, 7502.23, 7485.95",0.06,0.9,4,trigger to next,,,1,0.05555555556,6
3.012,3.1,3,1,30,0.50,6.00,"8524.56, 8854.09, 7372.55",1.5,0.65,0,,,,0.75,1.5,150
3.0121,3.2,3,1,57,0.95,3.16,"8524.56, 8854.09, 7372.55",0.86,0.7,0,,,,0.8125,0.8552631579,86
3.0122,3.3,3,1,216,3.60,0.83,"8524.56, 8854.09, 7372.55",0.24,0.8,0,,,,0.875,0.2430555556,24
3.0123,3.4,3,1,506,8.43,0.36,"8524.56, 8854.09, 7372.55",0.11,0.9,0,,,,0.9375,0.1111660079,11
3.0124,3.5,3,1,1120,18.67,0.16,"8524.56, 8854.09, 7372.55",0.05,0.95,4,trigger to next,,,1,0.05357142857,5
3.013,2.1,2,1,25,0.42,4.80,"7584.32, 7888.96",1.8,0.7,0,,,,0.75,1.8,180
3.0131,2.2,2,1,50,0.83,2.40,"7584.32, 7888.96",0.98,0.75,0,,,,0.8125,0.975,98
3.0132,2.3,2,1,216,3.60,0.56,"7584.32, 7888.96",0.24,0.8,0,,,,0.875,0.2430555556,24
3.0133,2.4,2,1,526,8.77,0.23,"7584.32, 7888.96",0.11,0.9,0,,,,0.9375,0.1069391635,11
3.0134,2.5,2,1,1160,19.33,0.10,"7584.32, 7888.96",0.05,1,4,trigger to next,,,1,0.05172413793,5
3.014,1.1,1,1,20,0.33,3.00,9000,2.25,0.75,0,,,,0.75,2.25,225
3.0141,1.2,1,1,43,0.72,1.40,9000,1.13,0.8,0,,,,0.8125,1.13372093,113
3.0142,1.3,1,1,216,3.60,0.28,9000,0.24,0.85,0,,,,0.875,0.2430555556,24
3.0143,1.4,1,1,546,9.10,0.11,9000,0.1,0.9,0,,,,0.9375,0.103021978,10
3.0144,1.5,1,1,1200,20.00,0.05,9000,0.05,1,4,"Repeat this until triggered next, MODULATE TO NEW TIMBRE",,,1,0.05,5
,,1,1,546,9.10,0.11,9000,0.11,1,,,,,1,0.1098901099,11
,,1,1,216,3.60,0.28,9000,0.28,1,,,,,1,0.2777777778,28
,,1,1,43,0.72,1.40,9000,1.4,1,,,,,1,1.395348837,140
,,1,1,20,0.33,3.00,9000,3,1,,,,,1,3,300
,,1,1,43,0.72,1.40,9000,1.4,1,,,,,1,1.395348837,140
,,1,1,216,3.60,0.28,9000,0.28,1,,,,,1,0.2777777778,28
,,1,1,546,9.10,0.11,9000,0.11,1,,,,,1,0.1098901099,11
,,1,1,1200,20.00,0.05,9000,0.05,1,,,,,1,0.05,5
,,1,1,546,9.10,0.11,9000,0.11,1,,,,,1,0.1098901099,11
,,1,1,216,3.60,0.28,9000,0.28,1,,,,,1,0.2777777778,28
,,1,1,43,0.72,1.40,9000,1.4,1,,,,,1,1.395348837,140
,,1,1,20,0.33,3.00,9000,3,1,,,,,1,3,300
,,1,1,43,0.72,1.40,9000,1.4,1,,,,,1,1.395348837,140
,,1,1,216,3.60,0.28,9000,0.28,1,,,,,1,0.2777777778,28
,,1,1,546,9.10,0.11,9000,0.11,1,,,,,1,0.1098901099,11
,,1,1,1200,20.00,0.05,9000,0.05,1,,,,,1,0.05,5
3.1,-2.1,2,1,1200,20.00,0.10,"7584.32, 7888.96",0.05,1,0,,,,1,0.05,5
3.101,-2.2,2,1,546,9.10,0.22,"7584.32, 7888.96",0.1,0.9,0,,,,0.9375,0.103021978,10
3.102,-2.3,2,1,216,3.60,0.56,"7584.32, 7888.96",0.24,0.8,0,,,,0.875,0.2430555556,24
3.103,-2.4,2,1,43,0.72,2.79,"7584.32, 7888.96",1.13,0.7,0,,,,0.8125,1.13372093,113
3.104,-2.5,2,1,20,0.33,6.00,"7584.32, 7888.96",2.25,0.6,4,trigger to next,,,0.75,2.25,225
3.11,-3.1,3,1,1080,18.00,0.17,"7109.83, 6319.82, 5684.39",0.06,0.95,0,,,,1,0.05555555556,6
3.111,-3.2,3,1,864,14.40,0.21,"7109.83, 6319.82, 5684.39",0.07,0.85,0,,,,0.9375,0.06510416667,7
3.112,-3.3,3,1,605,10.08,0.30,"7109.83, 6319.82, 5684.39",0.09,0.75,0,,,,0.875,0.0867768595,9
3.113,-3.4,3,1,333,5.55,0.54,"7109.83, 6319.82, 5684.39",0.15,0.65,0,,,,0.8125,0.1463963964,15
3.114,-3.5,3,1,116,1.93,1.55,"7109.83, 6319.82, 5684.39",0.39,0.55,4,trigger to next,,,0.75,0.3879310345,39
3.12,-4.1,4,1,972,16.20,0.25,"4334.08, 7664.06, 8047.63, 4877.82",0.06,0.9,0,,,,1,0.06172839506,6
3.121,-4.2,4,1,778,12.97,0.31,"4334.08, 7664.06, 8047.63, 4877.82",0.07,0.8,0,,,,0.9375,0.07230077121,7
3.122,-4.3,4,1,544,9.07,0.44,"4334.08, 7664.06, 8047.63, 4877.82",0.1,0.7,0,,,,0.875,0.09650735294,10
